name,description,url,image
fox,Stacking chair 1030,/en/products/fox-stacking-chair/?variant=1030,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63353_lm_product_grid_0004_fox_1030_135_XL.jpg.webp?itok=AgGXmGju
fox,Swivel chair 192,/en/products/fox-swivel-chair/?variant=192,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63365_lm_product_grid_0016_fox_192_front_Buche_XL.jpg.webp?itok=gvurSxJ9
hero,Stacking chair 4604,/en/products/hero-stacking-chair/?variant=4604,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63386_lm_product_grid_0002_hero_4604_61_XL.jpg.webp?itok=2RwB6E5O
hero plus,Stacking chair 4609,/en/products/hero-plus-stacking-chair/?variant=4609,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/86248_Im_product_grid_hero_plus_mesh_4609_XL.jpg.webp?itok=zN5GDMef
hero plus,Stacking chair 4623,/en/products/hero-plus-stacking-chair-1/?variant=4623,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/89819_lm_product_grid_hero_plus_4603_XL.jpg.webp?itok=kSZa7yTn
hero plus,stacking chair 4628,/en/products/hero-plus-stacking-chair-0/?variant=4628,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63390_lm_product_grid_0002_hero_plus_4628_XL.jpg.webp?itok=QlFLHE5v
hero plus flex,Stacking chair 4615,/en/products/hero-plus-flex-stacking-chair-0/?variant=4615,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/images/4615-110343_brunner_hero_plus_flex_4615_a46f_beidseitig_im_product_grid_xl.jpg.webp?itok=T4rTJKJn
hoc,Lounge furniture 9146,/en/products/hoc-lounge-furniture/?variant=9146,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63393_lm_product_grid_0001_hoc_9146_XL.jpg.webp?itok=NmLI_NJK
hoc,Seating 9149,/en/products/hoc-seating-0/?variant=9149,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63392_lm_product_grid_0000_hoc_9149_XL.jpg.webp?itok=h5V9ol2o
hoc,seating 9142,/en/products/hoc-seating/?variant=9142,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/68633_lm_product_grid_0008_hoc_9142_XL.jpg.webp?itok=TJgVMYyI
invite,Upholstered chair 5922,/en/products/invite-upholstered-chair/?variant=5922,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/images/5922-110332_brunner_invite_5922_im_product_grid_xl.jpg.webp?itok=Lc-weqnQ
jump,stacking chair 412,/en/products/jump-stacking-chair/?variant=412,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63402_lm_product_grid_0003_jump_412A_XL.jpg.webp?itok=KVB5Ka48
linos,Stacking chair plastic 1206,/en/products/linos-stacking-chair-plastic/?variant=1206,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63412_lm_product_grid_0008_linos_1206_XL.jpg.webp?itok=Me7Ob_Ia
linos,stacking chair wood 1224,/en/products/linos-stacking-chair-wood/?variant=1224,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63405_lm_product_grid_0001_linos_1224_XL.jpg.webp?itok=o3lFOAd5
